bin_id	sample_id	classification	mag_path	gtdb_file	Bin Id	Completeness	Contamination	quality_score
UHM1171.23069_R.bin.17	UHM1171.23069	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1171.23069/bins/UHM1171.23069_R.bin.17.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1171.23069/gtdbtk.bac120.summary.tsv	UHM1171.23069_R.bin.17	98.64	0.0	98.64
UHM892.23050_R.bin.18	UHM892.23050	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM892.23050/bins/UHM892.23050_R.bin.18.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/gtdbtk.bac120.summary.tsv	UHM892.23050_R.bin.18	98.63	0.0	98.63
UHM20.35743_R.bin.51	UHM20.35743	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM20.35743/bins/UHM20.35743_R.bin.51.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM20.35743/gtdbtk.bac120.summary.tsv	UHM20.35743_R.bin.51	97.99	0.0	97.99
UHM298.23040_R.bin.130	UHM298.23040	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM298.23040/bins/UHM298.23040_R.bin.130.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM298.23040/gtdbtk.bac120.summary.tsv	UHM298.23040_R.bin.130	97.99	0.0	97.99
UHM45.35758_R.bin.16	UHM45.35758	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM45.35758/bins/UHM45.35758_R.bin.16.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM45.35758/gtdbtk.bac120.summary.tsv	UHM45.35758_R.bin.16	97.99	0.0	97.99
UHM1327.23073_R.bin.54	UHM1327.23073	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilioclostridium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1327.23073/bins/UHM1327.23073_R.bin.54.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1327.23073/gtdbtk.bac120.summary.tsv	UHM1327.23073_R.bin.54	97.99	0.0	97.99
UHM18.35742_R.bin.6	UHM18.35742	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM18.35742/bins/UHM18.35742_R.bin.6.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM18.35742/gtdbtk.bac120.summary.tsv	UHM18.35742_R.bin.6	97.99	0.0	97.99
UHM38.35753_R.bin.46	UHM38.35753	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM38.35753/bins/UHM38.35753_R.bin.46.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM38.35753/gtdbtk.bac120.summary.tsv	UHM38.35753_R.bin.46	97.99	0.0	97.99
UHM36.35751_R.bin.35	UHM36.35751	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM36.35751/bins/UHM36.35751_R.bin.35.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM36.35751/gtdbtk.bac120.summary.tsv	UHM36.35751_R.bin.35	97.99	0.0	97.99
UHM36.35750_R.bin.7	UHM36.35750	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM36.35750/bins/UHM36.35750_R.bin.7.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM36.35750/gtdbtk.bac120.summary.tsv	UHM36.35750_R.bin.7	97.99	0.0	97.99
