bin_id	sample_id	classification	mag_path	gtdb_file	Bin Id	Completeness	Contamination
UHM893.23051_R.bin.102	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.102.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.102	14.29	0.0
UHM893.23051_R.bin.121	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.121.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.121	50.48	1.72
UHM893.23051_R.bin.124	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.124.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.124	70.27	0.24
UHM893.23051_R.bin.50	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.50.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.50	74.06	6.15
UHM893.23051_R.bin.63	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG3077;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.63.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.63	76.36	5.59
UHM893.23051_R.bin.71	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.71.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.71	63.33	2.35
UHM893.23051_R.bin.76	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.76.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.76	90.6	1.14
UHM893.23051_R.bin.97	UHM893.23051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM893.23051/bins/UHM893.23051_R.bin.97.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/gtdbtk.bac120.summary.tsv	UHM893.23051_R.bin.97	88.7	4.22
UHM893.23051_R.bin.102	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.102.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
UHM893.23051_R.bin.121	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.121.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
